date,accruals,age,aturnover,betaarb,cfp,ciss,debtiss,divp,dur,ep,fscore,gltnoa,gmargins,growth,igrowth,indmom,indmomrev,indrrev,indrrevlv,inv,invcap,ivol,lev,lrrev,mom,mom12,momrev,nissa,nissm,noa,price,prof,repurch,roa,roaa,roe,roea,rome,season,sgrowth,shortint,shvol,size,sp,strev,sue,valmom,valmomprof,valprof,value,valuem
6/1/1976,0.012423035,-0.012173825,-0.015590827,-0.065544003,0.022460331,-0.0036167,0.004629845,-0.026506126,0.016782181,0.015995451,0.001347791,0.027779911,0.00659342,0.031165055,0.008761055,0.041956308,0.037796477,0.018212852,0.020450047,0.031558436,-0.015832478,0.000890416,0.012387908,0.024037009,-0.004669279,-0.021814789,-0.011653771,0.014325525,0.012413076,0.046943823,0.006723975,0.00604146,0.001289477,-0.023616753,-0.023423796,-0.01183632,-0.00367687,0.026598824,0.00034614,-0.016436575,-0.022271891,-0.052463812,-0.022337228,-0.009572857,0.013849092,-0.018052105,0.004809898,-0.013964818,-0.004747108,0.000726661,0.005211632
7/1/1976,0.016577823,0.0128563,-0.019583606,0.041681891,0.010992997,0.025484455,0.00360743,0.032925611,0.000488912,0.008444413,-0.003178448,0.010989594,0.003686642,0.040080043,0.007708639,-0.012445778,-0.006549421,0.040860113,0.034300098,0.02591869,0.045787438,0.013914044,0.015052987,0.026180977,-0.011265547,-0.000980005,0.047508803,-0.008552688,-0.008608311,-0.018937927,-0.008745867,-0.020921843,0.002011582,-0.017601582,-0.034660124,-0.03488018,-0.030701249,0.038870656,0.013323319,0.006321046,0.063621998,0.052994917,0.007903249,0.036562813,0.03986879,0.035805481,0.031444108,0.02234904,0.025986145,0.037515886,0.034022917
8/1/1976,-0.004148888,-0.021990131,-0.031166817,0.04021223,-0.028595161,-0.011819704,-0.006355356,0.013176713,-0.020241166,0.029807853,-0.009781223,-0.001460977,0.031415133,-0.00582729,-0.018425551,0.004120621,-0.020085492,0.000815882,0.007818593,-0.005671153,0.01683405,0.043381327,-0.022164287,-0.019745993,-0.037661078,-0.006396397,0.04270353,-0.024838108,-0.0238568,-0.02217782,0.029380284,-0.016032912,-0.004869783,0.04363873,0.037402885,-0.034502697,0.04305746,-0.020155396,0.011608678,-0.013876388,0.055589309,0.055503499,-0.021964219,-0.026522092,-0.022673365,0.05053988,-0.034283547,-0.032324487,-0.018657844,-0.02100437,-0.009692494
9/1/1976,-0.016876238,-0.00606881,-0.021603466,0.006223049,0.020680301,0.00931031,-0.021934223,0.001793519,0.019641742,0.019850875,0.000132684,-0.002334558,-0.005218637,-0.026440454,0.004057157,0.053968474,0.047685943,0.009467612,0.00553128,-0.0267312,-0.007200853,0.016863273,-0.014102871,0.010156044,0.046664712,0.008468103,-0.003974376,0.006716173,0.005633681,-0.023538796,0.018051617,-0.01314682,0.013229117,0.039501158,0.021098952,0.010887815,0.014279229,0.024921887,0.020613594,-0.008715095,-0.004922816,-0.004165475,-0.01062748,-0.015615166,0.021413699,-0.004214256,0.019901416,0.005715484,-0.019781264,-0.012953172,-0.00392383
10/1/1976,-0.012327406,0.011579256,-0.012724444,0.0398927,-0.009366224,0.012952949,0.002255827,0.026087884,-0.006229362,0.020742738,-0.002958738,-0.025231193,0.012603619,0.006248025,-0.009331539,0.008292314,0.01849451,0.019600347,0.027956992,-0.014580851,0.015188263,0.023945717,0.033244172,-0.002089187,-0.001122075,-0.000553852,0.011324009,-0.0183827,-0.017960052,-0.008494834,0.016798072,-0.019626183,-0.005425134,-0.026695166,0.002734273,-0.013753795,0.020077444,0.011873895,0.024579926,-0.007389709,0.050704812,0.040427825,0.002491743,-0.002717941,0.013386091,0.033075035,-0.020015767,-0.017023071,-0.020147225,-0.016383969,-0.007717726
11/1/1976,0.003227031,0.018277267,0.009679064,-0.007296511,0.045222691,-0.000960978,0.000404091,0.006396041,0.024315716,0.025519942,0.01052399,0.01931068,-0.023376737,0.030453212,0.021138186,-0.033894991,0.020903436,0.043481584,0.044080977,0.062200148,0.036440953,-0.02275479,0.02175072,0.029152578,0.009244199,0.030289497,-0.041861551,-0.005612444,0.002618064,-0.03397219,-0.026364981,-0.035634853,-0.001046362,-0.020506056,-0.034338648,-0.061098423,-0.047007573,0.076724348,0.010749512,-0.024701032,0.008793324,-0.029795482,0.031604919,0.050692015,0.02906647,0.022557363,0.038623833,0.038917899,0.025062261,0.053060685,0.043353904
12/1/1976,0.014359721,0.031374403,-0.002154008,0.008745873,0.077380867,0.013440889,0.016712306,0.036280401,0.067560093,0.051816723,0.007668381,-0.016174012,-0.045086361,0.053119058,0.008440277,-0.02972326,0.024549954,0.033229976,0.03709756,0.030272224,0.021857459,-0.068091835,0.078762622,0.065147785,-0.006930084,0.031408016,0.019053666,0.026186014,0.019206748,0.01208244,-0.089639942,-0.017266486,0.016862237,-0.075942703,-0.064552446,-0.009935089,-0.02230089,0.0556809,-0.022114346,0.013633211,0.011530548,-0.016667674,0.057120457,0.052547772,0.038817241,-0.025126181,0.029592736,0.027676083,0.049545949,0.060714835,0.072891275
1/1/1977,0.016035239,0.018234799,-0.048332635,0.087668263,0.119041339,0.028635118,-0.008999161,0.116118373,0.065247076,0.095360674,0.01379847,0.008053553,-0.066475443,0.071688396,-0.004954746,0.086491765,0.025508909,-0.026783205,-0.045106297,0.049821203,0.064031263,-0.056680537,0.047981393,0.064576471,0.065231645,0.119500265,0.017166723,0.01928396,0.009949029,-0.018008328,-0.108578306,-0.052888276,0.01179026,-0.026753658,-0.071530494,-0.061073402,-0.064087697,0.119177057,0.058634026,0.015092169,0.027865672,0.000287511,0.104516295,0.094427816,-0.060884722,0.04104936,0.119034232,0.094501915,0.062203878,0.10950979,0.104104088
2/1/1977,-0.013568213,0.001629593,-0.017129759,0.039062938,0.002098575,0.013379153,0.005436289,0.005110585,0.011592368,0.038161124,0.003915909,-0.015894233,0.023408848,0.004366926,-0.017474862,-0.025807188,-0.005899928,0.004079823,-0.006528524,0.008273976,-0.008837606,0.001964543,-0.012882632,-0.038466666,-0.004771779,-0.002103973,0.004290507,-0.012299849,0.014440616,0.023938671,-0.002626612,0.022709932,-0.004903603,0.020824478,0.029505669,0.021084844,0.024702834,0.001054099,0.000502047,0.001357946,0.02468657,0.025150141,0.017787978,-0.002705173,0.010727557,-0.013805164,0.009093742,0.012305391,0.025421693,-0.006494299,-0.010803385
3/1/1977,0.006098978,0.007715645,-0.0174785,0.009294088,0.018746515,-0.023876819,0.001002694,0.010750981,0.013670209,0.016164871,0.004046114,0.00091587,0.005722729,0.002262089,0.007264829,0.025192675,0.018456854,0.017007093,0.009994983,0.00754846,0.001454854,-0.01531177,0.008602396,-0.005587176,0.012689992,0.020516496,-0.011230673,-0.008676209,0.004905021,-0.004974122,-0.023310295,-0.021179761,0.004735118,-0.008652255,0.006343139,-0.006598623,0.008167577,0.010607947,-0.017139816,0.005309093,-0.031408136,-0.010998884,0.029337197,0.01189481,0.016154328,-0.033941036,0.024433978,0.01764539,0.00620161,0.017194008,0.014022373
